ابقي قابلني,compound_neg,1,0
ابن الاحبي,compound_neg,1,0
ابن القرعه,compound_neg,1,0
ابن المره,compound_neg,1,0
ابن المنحوسة,compound_neg,1,0
ابن الهرمه,compound_neg,1,0
ابن جزمه,compound_neg,1,0
ابو جهل,compound_neg,0,1
اتق الله,compound_neg,0,1
اتقو الله,compound_neg,1,0
اتقي الله,compound_neg,0,1
اتقي شر,compound_neg,0,1
اتكسف علي دمك,compound_neg,1,0
اتكسفوا علي دمكم,compound_neg,1,0
اتمسح بينا الأرض,compound_neg,1,0
اتمسح بيه الارض,compound_neg,1,0
اتمسح بيه البلاط,compound_neg,1,0
اتمسح بيهم الارض,compound_neg,1,0
اجعلهم عبره,compound_neg,0,1
اجهل بني,compound_neg,0,1
اجهل خلق الله,compound_neg,0,1
اجهل واحد,compound_neg,0,1
احترم نفسك,compound_neg,1,0
احساس وحش ,compound_neg,1,0
اخبط دماغك فالحيط,compound_neg,1,0
اخص علي,compound_neg,1,0
ارحمني بئه,compound_neg,1,0
ارمي نفسي,compound_neg,1,0
ازاي بقي,compound_neg,1,0
اسمع كلامك اصدقك,compound_neg,1,0
اسوء منهم مفيش,compound_neg,1,0
اشباه رجال,compound_neg,0,1
اشكال زباله,compound_neg,1,0
اشوف فيك يوم,compound_neg,1,0
اصحاب المصالح,compound_neg,0,1
اصحاب سوابق ,compound_neg,1,0
اعداء النجاح,compound_neg,0,1
اعمل ايه طيب ,compound_neg,1,0
اعمل لكم ايه,compound_neg,1,0
اعوذ بالله ,compound_neg,0,1
اقر ع ونزهي,compound_neg,1,0
اقل من عادي,compound_neg,0,1
الاشكال دي,compound_neg,1,0
البلا الأرزق,compound_neg,1,0
الساكت عن الحق شيطان اخرس,compound_neg,0,1
الطين بله,compound_neg,0,1
العب غيرها,compound_neg,1,0
العوض على الله,compound_neg,0,1
العين الحمرا,compound_neg,1,0
الغايب ملوش نايب,compound_neg,1,0
الغباء له ناسه,compound_neg,1,0
القضاء علي,compound_neg,0,1
الله غالب,compound_neg,0,1
الله لا يسامحك ,compound_neg,0,1
الله يحرقك,compound_neg,1,0
الله يحرقكو,compound_neg,1,0
الله يخرب بيتك,compound_neg,1,0
الله يلعن,compound_neg,0,1
اللهم اخزه,compound_neg,0,1
اللهي تتشك في,compound_neg,1,0
اللهي تنشك في,compound_neg,1,0
اللي اختاشو ماتو,compound_neg,1,0
المتاجره بالدين,compound_neg,0,1
اله ادب,compound_neg,1,0
اله ادبك,compound_neg,1,0
الي الجحيم,compound_neg,0,1
الي زوال,compound_neg,0,1
الي متي,compound_neg,0,1
اليل الادب,compound_neg,1,0
اليله الادب,compound_neg,1,0
ام العجايب,compound_neg,0,1
امري لله ,compound_neg,1,0
ان لم تستحي فأفعل ماشئت,compound_neg,0,1
انا استفدت ايه,compound_neg,1,0
انا غلطان,compound_neg,1,0
انا مشروخ,compound_neg,1,0
انا هنتحر,compound_neg,1,0
انت مال امك,compound_neg,1,0
انت ملكيش عازه,compound_neg,1,0
انحلال اخلاقي,compound_neg,0,1
اهبل برياله,compound_neg,1,0
اهدار كرامه,compound_neg,0,1
اولالات الادب,compound_neg,1,0
اي بطيخ ,compound_neg,1,0
اي كلام,compound_neg,1,0
ايام سوده,compound_neg,1,0
اين انتم من,compound_neg,0,1
اين أنت يا انشراح,compound_neg,1,0
ايه اللي انت بتقوله ده,compound_neg,1,0
إنتقم يارب,compound_neg,0,1
إنسان مشروخ ,compound_neg,1,0
أنت فين يا انشراح,compound_neg,1,0
أي بطيخ و السلام,compound_neg,1,0
بالذمه ده,compound_neg,1,0
بالذمه دي,compound_neg,1,0
